team_name,home_wins,home_draws,goals_for_home,goals_against_home,away_wins,away_draws,goals_for_away,goals_against_away,total_wins,total_goals_for,total_goals_against
FC Barcelona,38,2,123.0,46.0,32,10,111.0,57.0,70,234.0,103.0
Real Madrid CF,40,4,114.0,34.0,29,13,92.0,47.0,69,206.0,81.0
Club Atlético de Madrid,38,6,106.0,44.0,19,13,66.0,46.0,57,172.0,90.0
Villarreal CF,24,13,102.0,66.0,23,10,71.0,67.0,47,173.0,133.0
Athletic Club,28,13,84.0,42.0,17,14,48.0,49.0,45,132.0,91.0
Girona FC,25,8,89.0,67.0,16,12,58.0,73.0,41,147.0,140.0
Real Betis Balompié,23,15,77.0,51.0,14,20,59.0,69.0,37,136.0,120.0
Real Sociedad de Fútbol,19,11,59.0,54.0,15,14,51.0,58.0,34,110.0,112.0
RC Celta de Vigo,19,14,66.0,57.0,13,12,63.0,77.0,32,129.0,134.0
CA Osasuna,21,13,67.0,58.0,8,16,44.0,72.0,29,111.0,130.0
Deportivo Alavés,19,13,49.0,46.0,8,13,41.0,72.0,27,90.0,118.0
Valencia CF,20,14,57.0,42.0,7,16,44.0,87.0,27,101.0,129.0
Getafe CF,15,14,43.0,49.0,12,11,48.0,69.0,27,91.0,118.0
Sevilla FC,15,12,58.0,65.0,11,12,56.0,73.0,26,114.0,138.0
RCD Mallorca,16,18,48.0,48.0,9,13,40.0,66.0,25,88.0,114.0
Rayo Vallecano de Madrid,11,22,47.0,57.0,14,12,37.0,57.0,25,84.0,114.0
RCD Espanyol de Barcelona,14,7,36.0,32.0,7,5,26.0,38.0,21,62.0,70.0
UD Las Palmas,10,11,41.0,49.0,8,7,32.0,59.0,18,73.0,108.0
CD Leganés,7,4,23.0,27.0,2,9,16.0,29.0,9,39.0,56.0
Cádiz CF,5,9,16.0,19.0,1,6,10.0,36.0,6,26.0,55.0
Elche CF,5,4,17.0,8.0,0,3,7.0,15.0,5,24.0,23.0
Granada CF,4,6,24.0,32.0,0,3,14.0,47.0,4,38.0,79.0
Real Valladolid CF,3,4,11.0,32.0,1,0,15.0,58.0,4,26.0,90.0
Levante UD,0,2,7.0,17.0,3,2,13.0,12.0,3,20.0,29.0
UD Almería,1,8,22.0,36.0,2,4,21.0,39.0,3,43.0,75.0
Real Oviedo,1,5,3.0,11.0,1,2,6.0,17.0,2,9.0,28.0
